Dubai Food Festival,2025-02-10T17:00,2025-02-10T22:00,Dubai,Cultural,4
Abu Dhabi Book Fair,2025-05-01T09:00,2025-05-01T18:00,Abu Dhabi,Educational,5
Sharjah Charity Run,2025-03-12T07:00,2025-03-12T10:00,Sharjah,Charity,3
Ras Al Khaimah Heritage Night,2025-01-20T18:30,2025-01-20T21:30,Ras Al Khaimah,Cultural,2
Ajman Health Awareness Workshop,2025-04-09T10:00,2025-04-09T13:00,Ajman,Educational,4
Umm Al Quwain Beach Cleanup,2025-06-15T06:00,2025-06-15T09:00,Umm Al Quwain,Charity,5
Fujairah Mountain Marathon,2025-02-22T06:00,2025-02-22T12:00,Fujairah,Cultural,3
Dubai Tech Innovations Expo,2025-11-05T09:00,2025-11-05T17:00,Dubai,Educational,5
Abu Dhabi Wildlife Conservation Talk,2025-08-14T15:00,2025-08-14T17:00,Abu Dhabi,Charity,4
Sharjah Poetry Evening,2025-09-03T19:00,2025-09-03T21:00,Sharjah,Cultural,2
